date,dow,month,year,monthyear,daily_woi,daily_woi_c_med,daily_woi_nc,daily_woi_long,interpolated_news,lagdaily_woi,lagdaily_woi2,lagdaily_woi3,lagdaily_woi4,lagdaily_woi5,lagdaily_woi6,lagdaily_woi7,leaddaily_woi,leaddaily_woi2,leaddaily_woi3,leaddaily_woi4,leaddaily_woi5,leaddaily_woi6,leaddaily_woi7,lagdaily_woi_nc,lagdaily_woi2_nc,lagdaily_woi3_nc,lagdaily_woi4_nc,lagdaily_woi5_nc,lagdaily_woi6_nc,lagdaily_woi7_nc,leaddaily_woi_nc,leaddaily_woi2_nc,leaddaily_woi3_nc,leaddaily_woi4_nc,leaddaily_woi5_nc,leaddaily_woi6_nc,leaddaily_woi7_nc,lagdaily_woi_long,lagdaily_woi2_long,lagdaily_woi3_long,lagdaily_woi4_long,lagdaily_woi5_long,lagdaily_woi6_long,lagdaily_woi7_long,leaddaily_woi_long,lagdaily_woi_c_med,lagdaily_woi2_c_med,lagdaily_woi3_c_med,lagdaily_woi4_c_med,lagdaily_woi5_c_med,lagdaily_woi6_c_med,lagdaily_woi7_c_med,leaddaily_woi_c_med,victims_isr,victims_pal,occurrence,occurrence_pal,lnvic,lnvic_pal,occurrence_1,occurrence_2_7,occurrence_8_14,occurrence_pal_1,occurrence_pal_2_7,occurrence_pal_8_14,occurrence_t_y,occurrence_pal_t_y,lnvic_t_y,lnvic_pal_y,occurrence_target,victims_target,attacks_target,gaza_war,post_intifada,high_intensity,victims_non_target,occurrence_non_target,any_conflict_news,num_conflict_news,length_conflict_news,length_conflict_news_t_t_1,jhol1,jhol2,jhol3,jhol4,jhol5,jhol6,jhol7,jhol8,jhol9,jhol10,jhol11,jhol12,jhol13,jhol14,jhol15,jhol16,jhol17,mhol1,mhol2,mhol3,mhol4,mhol5,mhol6,mhol7,mhol8,conflict_searches,general_election,congress_start_session,state_of_the_union,main_national_conventions,special_congressional_elections,statewide_elections,gubernatorial_elections,presidential_inauguration,state_primary,presidential_caucuses,special_senate_elections,super_tuesday,iowa_caucuses,nh_presidential_primary,other_presidential_primaries,other_presidential_caucuses,olympics,worldcup,eurocup,worldseries,marchmadness,nbafinals,other_sport_events,major_events,lead_maj_events,lead_disaster,lead_killed_1000,fatal_victims,non_fatal_victims,occurrence_all,occurrence_fatal,occurrence_non_fatal,victims_hpd,occurrence_hpd,victims_lpd,occurrence_lpd,victims_hw,victims_nhw,occurrence_hw,occurrence_nhw,attacks_fatal,attacks_hpd,attacks_hw,barak,sharon,olmert,netanyahu,clinton,bush,obama,us_president_party,p_process,p_talks
29sep2000,Friday,9,2000,488,.85000002,.85000002,.85000002,1.0666667,0,,,,,,,,.71533334,.88179302,.95690238,.75,1.13,.91730773,.85100001,,,,,,,,.61666667,.67500001,.76666665,.73333335,.98333329,.89999998,.76666665,,,,,,,,1.0439999,,,,,,,,.71533334,4,1,1,1,1.6094379,.69314718,,0,0,,0,0,,,,,0,0,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,0,0
30sep2000,Saturday,9,2000,488,.71533334,.71533334,.61666667,1.0439999,0,.85000002,,,,,,,.88179302,.95690238,.75,1.13,.91730773,.85100001,1.1841667,.85000002,,,,,,,.67500001,.76666665,.73333335,.98333329,.89999998,.76666665,.81666672,1.0666667,,,,,,,1.282759,.85000002,,,,,,,.88983315,11,0,1,0,2.4849067,0,1,0,0,1,0,0,1,1,2.7725887,.69314718,0,0,3,0,0,1,11,1,1,1,2.6666667,1.3333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,0,0
01oct2000,Sunday,10,2000,489,.88179302,.88983315,.67500001,1.282759,0,.71533334,.85000002,,,,,,.95690238,.75,1.13,.91730773,.85100001,1.1841667,1.0329167,.61666667,.85000002,,,,,,.76666665,.73333335,.98333329,.89999998,.76666665,.81666672,.53333336,1.0439999,1.0666667,,,,,,1.356751,.71533334,.85000002,,,,,,.96128476,9,1,1,1,2.3025851,.69314718,1,1,0,0,1,0,1,1,3.0445225,.69314718,0,0,3,0,0,1,9,1,1,3,9,5.8333335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,0,0
02oct2000,Monday,10,2000,489,.95690238,.96128476,.76666665,1.356751,0,.88179302,.71533334,.85000002,,,,,.75,1.13,.91730773,.85100001,1.1841667,1.0329167,.80990994,.67500001,.61666667,.85000002,,,,,.73333335,.98333329,.89999998,.76666665,.81666672,.53333336,.51666665,1.282759,1.0439999,1.0666667,,,,,1.1017921,.88983315,.71533334,.85000002,,,,,.75,12,2,1,1,2.5649493,1.0986123,1,1,0,1,1,0,1,1,3.0910425,1.3862944,0,0,3,0,0,1,12,1,1,3,10.833333,9.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,0,0
03oct2000,Tuesday,10,2000,489,.75,.75,.73333335,1.1017921,0,.95690238,.88179302,.71533334,.85000002,,,,1.13,.91730773,.85100001,1.1841667,1.0329167,.80990994,.68771923,.76666665,.67500001,.61666667,.85000002,,,,.98333329,.89999998,.76666665,.81666672,.53333336,.51666665,.58333337,1.356751,1.282759,1.0439999,1.0666667,,,,1.4473684,.96128476,.88983315,.71533334,.85000002,,,,1.129373,6,0,1,0,1.9459101,0,1,1,0,1,1,0,1,1,2.9444389,1.0986123,0,0,3,0,0,1,6,1,1,2,4.3333335,7.5833335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,0,0
04oct2000,Wednesday,10,2000,489,1.13,1.129373,.98333329,1.4473684,0,.75,.95690238,.88179302,.71533334,.85000002,,,.91730773,.85100001,1.1841667,1.0329167,.80990994,.68771923,.90487498,.73333335,.76666665,.67500001,.61666667,.85000002,,,.89999998,.76666665,.81666672,.53333336,.51666665,.58333337,.80833328,1.1017921,1.356751,1.282759,1.0439999,1.0666667,,,1.3166667,.75,.96128476,.88983315,.71533334,.85000002,,,.91635525,9,0,1,0,2.3025851,0,1,1,0,0,1,0,1,0,2.7725887,0,0,0,3,0,0,1,9,1,1,3,6,5.1666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
05oct2000,Thursday,10,2000,489,.91730773,.91635525,.89999998,1.3166667,0,1.13,.75,.95690238,.88179302,.71533334,.85000002,,.85100001,1.1841667,1.0329167,.80990994,.68771923,.90487498,1.0452055,.98333329,.73333335,.76666665,.67500001,.61666667,.85000002,,.76666665,.81666672,.53333336,.51666665,.58333337,.80833328,.68333334,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.0666667,,1.1470001,1.129373,.75,.96128476,.88983315,.71533334,.85000002,,.84934646,2,0,1,0,1.0986123,0,1,1,0,0,1,0,1,0,2.4849067,0,0,0,3,0,0,1,2,1,1,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
06oct2000,Friday,10,2000,489,.85100001,.84934646,.76666665,1.1470001,0,.91730773,1.13,.75,.95690238,.88179302,.71533334,.85000002,1.1841667,1.0329167,.80990994,.68771923,.90487498,1.0452055,1.1180723,.89999998,.98333329,.73333335,.76666665,.67500001,.61666667,.85000002,.81666672,.53333336,.51666665,.58333337,.80833328,.68333334,.76666665,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.0666667,1.2566667,.91635525,1.129373,.75,.96128476,.88983315,.71533334,.85000002,1.1841667,10,0,1,0,2.3978953,0,1,1,0,0,1,0,1,0,2.5649493,0,0,0,3,0,0,1,10,1,1,3,5.6666665,4.3333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
07oct2000,Saturday,10,2000,489,1.1841667,1.1841667,.81666672,1.2566667,0,.85100001,.91730773,1.13,.75,.95690238,.88179302,.71533334,1.0329167,.80990994,.68771923,.90487498,1.0452055,1.1180723,.71310866,.76666665,.89999998,.98333329,.73333335,.76666665,.67500001,.61666667,.53333336,.51666665,.58333337,.80833328,.68333334,.76666665,.53333336,1.1470001,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.2383333,.84934646,.91635525,1.129373,.75,.96128476,.88983315,.71533334,.8441987,3,1,1,1,1.3862944,.69314718,1,1,1,0,1,1,1,1,2.6390574,.69314718,0,0,3,0,0,1,3,1,1,2,6,5.8333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
08oct2000,Sunday,10,2000,489,1.0329167,.8441987,.53333336,1.2383333,0,1.1841667,.85100001,.91730773,1.13,.75,.95690238,.88179302,.80990994,.68771923,.90487498,1.0452055,1.1180723,.71310866,1.1417832,.81666672,.76666665,.89999998,.98333329,.73333335,.76666665,.67500001,.51666665,.58333337,.80833328,.68333334,.76666665,.53333336,.68333334,1.2566667,1.1470001,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.4919913,1.1841667,.84934646,.91635525,1.129373,.75,.96128476,.88983315,.82230043,1,0,1,0,.69314718,0,1,1,1,1,1,1,1,1,1.6094379,.69314718,0,0,3,0,0,1,1,1,1,4,13.666667,9.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
